Customer Name,State,Product,Units Sold,Unit Price,Total Sale,Sale Date,Sales Channel,Order ID
,rivers,KEYBOARD,,,,2025-04-27,Online,
Allison Hill,Lagos,Headphones,,267992.94,,2024-03-15,Wholesale,4c636e95-025f-4543-8997-623ae0723d96
Noah Rhodes,Anambra,Keyboard,,42364.41,,2024-12-10,,edaf3766-1b78-4ede-9a4f-fc0c9165f2ed
Angie Henderson,Delta,Keyboard,,279444.94,,2024-04-05,,74503887-48d9-4846-95c5-51fcfba57cc8
Daniel Wagner,Delta,Tablet,,95899.74,,2025-01-12,,8639bd41-8b15-4d94-a42d-0cd7fd359f6a
Cristian Santos,Oyo,Camera,,118189.9,,2023-08-30,Direct,225aed6c-f045-4043-a3a6-8a707e710b55
Connie Lawrence,Rivers,Tablet,36,185141.9,6665108.4,2024-09-10,Wholesale,45d8a6ad-77d0-459e-8114-14f8d9df0d0e
Abigail Shaffer,Imo,Keyboard,,252859.28,,2024-09-04,Online,54a7b69b-1cd6-4b09-8f0e-6d2b315c167a
Gina Moore,Kano,CAMERA,,178320.53,,2024-02-21,Wholesale,a5f60735-757b-4b29-bb2a-a1462999394c
Gabrielle Davis,plateau,Tablet,,152440.84,,2025-06-02,Direct,039b058c-2faa-4e0b-b7f6-0cdf41dc1c60
Ryan Munoz,Niger,Keyboard,,,,2024-02-28,Direct,4b86b5a1-ca6f-4ff8-964c-fbd2bc92fd81
Monica Herrera,Abuja,Laptop,3,153159.37,459478.11,2025-05-02,Retail,317304b5-c1dd-484a-aca5-8d95915a1c30
Jamie Arnold,Lagos,Tablet,43,147209.07,6329990.01,2023-11-10,Wholesale,a383889a-db2c-4ac8-9c67-83932ced3c0d
,Kano,Camera,,169095.82,,2025-01-13,,6d7df5d0-d3b5-4af7-a7ce-378fe5a4983b
Lisa Hensley,Enugu,Tablet,27,142730.33,3853718.91,2025-01-12,Direct,
Michele Williams,Delta,Charger,,5482.77,,2025-06-30,Direct,669d01ff-1634-425b-93f3-007383e96ef4
Dylan Miller,Bauchi,CHARGER,,99706.26,,2025-01-04,Retail,fb4fb88a-2f4d-4219-986b-2880ab545a15
Brian Ramirez,Katsina,Laptop,28,33326.57,933143.96,2024-11-17,,ef9240b6-52d7-4f10-ba3a-6e9623ff23d3
